T0231100C/TSK,投資力学,G01500,日興アクティブ・ダイナミクス,
T47311161/TSK,挑戦者たち,G11513,未来変革日本株ファンド,
T2231100B/TSK,海のくに,G01481,大和住銀日本グロース株ファンド,
T17311137/TSK,ｼﾞｬﾊﾟﾝﾏｲｽﾀｰ,G09308,ＪＰＭジャパンマイスター,
T17311154/TSK,ｼﾞｬﾊﾟﾝﾌﾟﾗｲﾑ,G10913,ＪＰＭジャパンプライム,
T47311068/TSK,ﾄﾗｲｱﾝｸﾞﾙ,G05024,みずほ日本株アクティブ･オープン,
T0231197A/TSK,日興ｱｸﾃｨﾌﾞ,G01668,日興アクティブバリュー,
T17313143/TSK,ﾃﾞｨｽｶﾊﾞﾘｰ･F,G10330,日興ＪＰＭ日本ディスカバリー・ファンド,
T29311997/TSK,ﾆｯｾｲ日本株,G01117,ニッセイ日本株オープン,
T42311995/TSK,ﾔﾏﾄ,G01075,ピクテ・ニッポン・グロース・ファンド,
T1731108B/TSK,JPMﾌｫｰｶｽ,G07261,ＪＰＭジャパン・フォーカス・ファンド,
T49311026/TSK,東海3県F,G03596,東海３県ファンド,
T0931214A/TSK,未来図円,G10624,日本の未来図（円投資型）,
T2931315A/TSK,日経225ｱｸ3M,G11360,日経２２５アクティブファンド(３ヵ月決算),
T2931415A/TSK,日経225ｱｸ資,G11361,日経２２５アクティブファンド(資産成長),
T32311022/TSK,日本ﾊﾞﾘｭｰ･,G03266,フィデリティ・日本バリュー・ファンド,
T0131103A/TSK,ﾘｱﾙｸﾞﾛｰｽ,G03776,野村リアルグロース・オープン,
T10311962/TSK,ｱｸﾃｨﾌﾞﾊﾞﾘｭ,G03776,アクティブ　バリュー　オープン,
T12313007/TSK,雷,G08110,日本株バリューアップ・セレクト１００,
T03311001/TSK,ｴｺ･ﾊﾟｰﾄﾅｰｽ,G01231,エコ・パートナーズ,
T04311057/TSK,日本好配当,G04470,ダイワ日本好配当株ファンド,
T47312137/TSK,ｽﾄﾗﾃｼﾞｰ 円,G09329,アクティブ･ストラテジー(通貨選)円,
T7931603B/TSK,ﾄﾖﾀｸﾞﾙｰﾌﾟ,G09113,トヨタグループ株式ファンド,
T47311004/TSK,ﾌﾞﾗﾝﾄﾞｴｸｲﾃ,G11936,ブランドエクイティ,
T0131392A/TSK,ﾘｻｰﾁ･ｱｸﾃｨﾌﾞ,G02269,リサーチ・アクティブ・オープン,
T01311126/TSK,日本株円毎,G08807,日本高配当株プレミアム(円)毎月,
T01311098/TSK,日本真小型株,G07592,野村日本真小型株投信,
T02311059/TSK,ｶﾌﾞﾁｮﾌｧﾝﾄﾞ,G04572,株ちょファンド日本(高配当･割安･成長),
